## Generic Event attributes (range 1-999),,,,General,Network,System,Appl,PH,displayFormat,Count(DISTINCT),GroupBy,Aggr,OrderBy,Deprecated,Availability,SysPerf,NetPerf,AppPerf,Change,Security,Simple,rbac,Description
1033,Received Packets,recvPkts,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1034,Total Packets,totPkts,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1035,Sent Bytes,sentBytes,uint32,0,1,0,0,0,Bytes,0,0,1,1,0,,,1,,,1,,,
1036,Received Bytes,recvBytes,uint32,0,1,0,0,0,Bytes,0,0,1,1,0,,,1,,,1,,,
1037,Total Bytes,totBytes,uint32,0,1,0,0,0,Bytes,0,0,1,1,0,,,1,,,1,,,
1038,Duration,durationMSec,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,1,,,1,,,
1046,Connection Id,ipConnId,string,0,1,0,0,0,,0,0,0,0,0,,,1,,,1,,,
1047,Firewall Connection Count,fwConnCount,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1048,Firewall Connection Pct,fwConnPct,double,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1049,In Packet Error,inIntfPktErr,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1050,Out Packet Error,outIntfPktErr,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1051,In Packet Error Pct,inIntfPktErrPct,double,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,1,,
1052,Out Packet Error Pct,outIntfPktErrPct,double,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,1,,
1053,In Intf Util,inIntfUtil,double,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,1,,
1054,Out Intf Util,outIntfUtil,double,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,1,,
1055,Network Access Device Name,nepDevName,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1056,Host VLAN,hostVLAN,uint16,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1057,Device Port,devPort,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1058,Aruba WLAN Frame Type,arubaWLANFrameType,uint16,0,1,0,0,0,Code,0,1,0,1,0,,,,,,1,,,
1059,Aruba WLAN Blacklist Reason Code,arubaWLANBlacklistReasonCode,uint16,0,1,0,0,0,Code,0,1,0,1,0,,,,,,1,,,
1060,WLAN Channel Id,wlanChannelId,uint32,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1061,WLAN Radio Id,wlanRadioId,uint32,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
#1062,WLAN SSID,wlanSSID,uint32,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1063,Host Location,hostLocation,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1064,Target Host MAC,targetHostMACAddr,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1065,Avg Round Trip Time,avgDurationMSec,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1066,Max Round Trip Time,maxDurationMSec,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1067,Min Round Trip Time,minDurationMSec,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1068,Packet Loss Pct,pktLossPct,double,0,1,0,0,0,,0,0,1,1,0,1,1,,,,,1,,
1069,Sent TCP flags,srcDestTCPFlags,uchar,0,1,0,0,0,Code,1,1,0,0,0,,,,,,,,,
1070,Received TCP flags,destSrcTCPFlags,uchar,0,1,0,0,0,Code,1,1,0,0,0,,,,,,,,,
1071,Profile date type,profDateType,uchar,0,1,0,0,0,Code,0,0,0,1,0,,,,,,,,,
1072,Profile date,profDate,string,0,1,0,0,0,,0,0,0,1,0,,,,,,,,,
1073,Profile hour type,profHourType,uchar,0,1,0,0,0,Code,0,0,0,1,0,,,,,,,,,
1079,Min Sent Bytes,minSentBytes,uint64,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1080,Max Sent Bytes,maxSentBytes,uint64,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1081,Avg Sent Bytes,avgSentBytes,double,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
